"GISJOIN","Geography","Y90Total","Y90A25to44","Y90A25to59","Y00Total","Y00A25to44","Y00A25to59","Y10total","Y10A25to44","Y10A25to59","place"
"G08027535","Fort Garland CDP, Colorado",NA,NA,NA,432,118,190,433,81,184,"27535"
"G08027700","Fort Lupton city, Colorado",5159,1762,2298,6787,2099,3114,7377,1881,3421,"27700"
"G08027810","Fort Morgan city, Colorado",9068,2683,3892,11034,3210,4803,11315,2948,4922,"27810"
"G08027865","Fountain city, Colorado",9984,3338,4642,15197,5213,7393,25846,8591,12618,"27865"
"G08027975","Fowler town, Colorado",1154,267,425,1206,271,480,1182,258,474,"27975"
"G08028105","Foxfield town, Colorado",NA,NA,NA,746,132,371,685,98,305,"28105"
"G08028250","Franktown CDP, Colorado",NA,NA,NA,99,26,55,395,54,184,"28250"
"G08028305","Fraser town, Colorado",575,280,334,910,420,564,1224,502,748,"28305"
"G08028360","Frederick town, Colorado",988,332,460,2467,943,1339,8679,2961,4580,"28360"
"G08028690","Frisco town, Colorado",1601,889,1056,2443,1098,1581,2683,1014,1633,"28690"
"G08028745","Fruita city, Colorado",4045,1212,1662,6478,1780,2879,12646,3556,5844,"28745"
"G08028800","Fruitvale CDP, Colorado",5222,1692,2461,6936,1827,3229,7675,1793,3454,"28800"
"G08028830","Fulford CDP, Colorado",NA,NA,NA,NA,NA,NA,2,0,1,"28830"
"G08029185","Garden City town, Colorado",199,67,94,357,116,155,234,55,118,"29185"
"G08029295","Garfield CDP, Colorado",NA,NA,NA,NA,NA,NA,15,4,10,"29295"
"G08029625","Genesee CDP, Colorado",2737,1050,1725,3699,938,2292,3609,574,1727,"29625"
"G08029680","Genoa town, Colorado",167,48,72,211,46,76,139,26,56,"29680"
"G08029735","Georgetown town, Colorado",891,340,480,1088,369,663,1034,319,603,"29735"
"G08029845","Gerrard CDP, Colorado",NA,NA,NA,NA,NA,NA,278,48,112,"29845"
"G08029955","Gilcrest town, Colorado",1084,354,470,1162,362,521,1034,261,480,"29955"
"G08030340","Glendale city, Colorado",2453,1299,1480,4547,2290,2786,4184,1977,2535,"30340"
